words,count,proportions
salt,157,0.140555058192
sugar,103,0.0922112802149
pepper,93,0.0832587287377
oil,92,0.08236347359
butter,91,0.0814682184423
ground,77,0.0689346463742
chopped,73,0.0653536257833
flour,72,0.0644583706356
fresh,66,0.0590868397493
olive,53,0.047448522829
